module,type,name,res_id,src,value,comments
openacademy,model,"ir.actions.act_window,name",openacademy.contact_cat_list_action,Contact Tags,Contact Tags,
openacademy,model,"ir.actions.act_window,name",openacademy.contact_list_action,Contacts,Contacts,
openacademy,model,"ir.actions.act_window,name",openacademy.course_list_action,Courses,Courses,
openacademy,model_terms,"ir.actions.act_window,help",openacademy.course_list_action,Create the first course,Create the first course,
openacademy,model,"ir.actions.act_window,name",openacademy.launch_session_wizard,Add Attendees,Add Attendees,
openacademy,model,"ir.actions.act_window,name",openacademy.session_list_action,Sessions,Sessions,
openacademy,model,"ir.model,name",openacademy.model_openacademy_course,OpenAcademy Courses,OpenAcademy Courses,
openacademy,model,"ir.model,name",openacademy.model_openacademy_session,OpenAcademy Sessions,OpenAcademy Sessions,
openacademy,model,"ir.model,name",openacademy.model_openacademy_wizard,Wizard: Quick Registration of Attendees to Sessions,Wizard: Quick Registration of Attendees to Sessions,
openacademy,model,"ir.model,name",openacademy.model_res_partner,Contact,Contact,
openacademy,model,"ir.model.constraint,message",openacademy.constraint_openacademy_course_name_description_check,The title of the course should not be the description,The title of the course should not be the description,
openacademy,model,"ir.model.constraint,message",openacademy.constraint_openacademy_course_name_unique,The course title must be unique,The course title must be unique,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course____last_update,Last Modified on,Last Modified on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__create_date,Created on,Created on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__create_uid,Created by,Created by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__description,Description,Description,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__display_name,Display Name,Display Name,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__id,ID,ID,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__name,Title,Title,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__responsible_id,Responsible,Responsible,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__session_ids,Sessions,Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__write_date,Last Updated on,Last Updated on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_course__write_uid,Last Updated by,Last Updated by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session____last_update,Last Modified on,Last Modified on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__active,Active,Active,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__attendee_ids,Attendees,Attendees,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__attendees_count,Attendees count,Attendees count,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__color,Color,Color,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__course_id,Course,Course,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__create_date,Created on,Created on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__create_uid,Created by,Created by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__display_name,Display Name,Display Name,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__duration,Duration,Duration,
openacademy,model,"ir.model.fields,help",openacademy.field_openacademy_session__duration,Duration in days,Duration in days,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__end_date,End Date,End Date,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__id,ID,ID,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__instructor_id,Instructor,Instructor,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__name,Name,Name,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__seats,Number of seats,Number of seats,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__start_date,Start Date,Start Date,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__taken_seats,Booked seats,Booked seats,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__write_date,Last Updated on,Last Updated on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_session__write_uid,Last Updated by,Last Updated by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard____last_update,Last Modified on,Last Modified on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__attendee_ids,Attendees,Attendees,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__create_date,Created on,Created on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__create_uid,Created by,Created by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__display_name,Display Name,Display Name,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__id,ID,ID,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__session_ids,Sessions,Sessions,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__write_date,Last Updated on,Last Updated on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_openacademy_wizard__write_uid,Last Updated by,Last Updated by,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner____last_update,Last Modified on,Last Modified on,
openacademy,model,"ir.model.fields,field_description",openacademy.field_res_partner__display_name,Display Name,Display Name,
